sample_name	Sample_or_Control	UCSD_split	birthplace	orig_seqrunid	date_startcollection	cohort	mouse_line	site_line	house_siteline	house_siteline_split_UCSD_Jax	house_siteline_UCSDJax	house_siteline_bcmJAX	dob	host_age	host_age_units	parity	cage	submission_date	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_origid	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	esMM	esKP	esSO	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	toMedian1002000	study_topic	institution	vivarium	room	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_real_33_77	CST_char	Longitudinal_basleine	GBS_study	FPVS	estrous
repeatPatrasblankMseries	Control	none	BCM	repeat_Patras_blank	3/17/20	2020Mch	blank	BCM_blank	BCM_BCM_blank	BCM_BCM_blank	BCM_BCM_blank	BCM_BCM_blank	not applicable	not applicable	not applicable	not applicable	not applicable	July202020	a	blank	PBS swab	PBS swab	blank_PBS swab												None										Longitudinal composition	BCM			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable					None	none	none
Blankd1HMB	Control	none	BCM	Patras_Blank1_HUVANI2	8/18/20	2020Aug	blank	BCM_blank	BCM_BCM_blank	BCM_BCM_blank	BCM_BCM_blank	BCM_BCM_blank	not applicable	not applicable	not applicable	not applicable	not applicable	January252021	b	blank	PBS swab	PBS swab	blank_PBS swab												None											BCM			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable					None	none	none
Blankd3HMB	Control	none	BCM	Patras_Blank3_HUVANI2	8/18/20	2020Aug	blank	BCM_blank	BCM_BCM_blank	BCM_BCM_blank	BCM_BCM_blank	BCM_BCM_blank	not applicable	not applicable	not applicable	not applicable	not applicable	January252021	b	blank	PBS swab	PBS swab	blank_PBS swab												None											BCM			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable					None	none	none
Blankd4HMB	Control	none	BCM	Patras_Blank4_HUVANI2	8/18/20	2020Aug	blank	BCM_blank	BCM_BCM_blank	BCM_BCM_blank	BCM_BCM_blank	BCM_BCM_blank	not applicable	not applicable	not applicable	not applicable	not applicable	January252021	b	blank	PBS swab	PBS swab	blank_PBS swab												None											BCM			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable					None	none	none
GBS01d0	True Sample	none	BCM	Patras_01d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2840	01a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS01d3	True Sample	none	BCM	Patras_01d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2840	01a									3	GBS	2160000					Colonized		Colonized	High	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS01d7	True Sample	none	BCM	Patras_01d7HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2840	01a									7	GBS	1380000	31716417.91	44642857.14	962407.2217			Colonized	Colonized	High	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS02d0	True Sample	none	BCM	Patras_02d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2841	02a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		GBS	none	none
GBS02d3	True Sample	none	BCM	Patras_02d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2841	02a									3	GBS	2100000					Colonized		Colonized	High	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		GBS	none	none
GBS02d7	True Sample	none	BCM	Patras_02d7HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2841	02a									7	GBS	906000	21284829.72	63591022.44	9547.936017			Colonized	Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		GBS	none	none
GBS03d0	True Sample	none	BCM	Patras_03d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2842	03a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS03d3	True Sample	none	BCM	Patras_03d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2842	03a									3	GBS	46200					Colonized		Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS03d7	True Sample	none	BCM	Patras_03d7HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2842	03a									7	GBS	564000	2718446.602	2191558.442	8465.822785			Colonized	Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS04d0	True Sample	none	BCM	Patras_04d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2843	04a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		GBS	none	none
GBS04d3	True Sample	none	BCM	Patras_04d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2843	04a									3	GBS	1068000					Colonized		Colonized	High	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		GBS	none	none
GBS04d7	True Sample	none	BCM	Patras_04d7HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/20/20	25.71428571	weeks	nulliparous	GBS1_01	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2843	04a									7	GBS	156000	69422150.88	90301003.34	1097387.479			Colonized	Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		GBS	none	none
GBS05d0	True Sample	none	BCM	Patras_05d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/27/20	24.71428571	weeks	nulliparous	GBS1_02	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2856	05a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS05d3	True Sample	none	BCM	Patras_05d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/27/20	24.71428571	weeks	nulliparous	GBS1_02	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2856	05a									3	GBS	726000	3561643.836	10211267.61	5346.835443		Colonized		Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS06d0	True Sample	none	BCM	Patras_06d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/27/20	24.71428571	weeks	nulliparous	GBS1_02	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2857	06a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		GBS	none	none
GBS06d3	True Sample	none	BCM	Patras_06d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/27/20	24.71428571	weeks	nulliparous	GBS1_02	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2857	06a									3	GBS	660000	24441340.78	64814814.81	328747.3997		Colonized		Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		GBS	none	none
GBS07d0	True Sample	none	BCM	Patras_07d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/27/20	24.71428571	weeks	nulliparous	GBS1_02	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2858	07a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		GBS	none	none
GBS07d3	True Sample	none	BCM	Patras_07d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/27/20	24.71428571	weeks	nulliparous	GBS1_02	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2858	07a									3	GBS	216000	14192139.74	38659793.81	3024535.902		Colonized		Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		GBS	none	none
GBS08d0	True Sample	none	BCM	Patras_08d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/28/20	24.57142857	weeks	nulliparous	GBS1_03	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2859	08a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		GBS	none	none
GBS08d3	True Sample	none	BCM	Patras_08d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/28/20	24.57142857	weeks	nulliparous	GBS1_03	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2859	08a									3	GBS	1182000	107142857.1	101224105.5	47800990.1		Colonized		Colonized	High	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		GBS	none	none
GBS09d0	True Sample	none	BCM	Patras_09d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/28/20	24.57142857	weeks	nulliparous	GBS1_03	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2860	09a									0	None								Clear		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	5	6	VI		GBS	none	none
GBS09d3	True Sample	none	BCM	Patras_09d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	2/28/20	24.57142857	weeks	nulliparous	GBS1_03	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2860	09a									3	GBS	720	781.25	0	0		Colonized		Clear	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	5	6	VI		GBS	none	none
GBS10d0	True Sample	none	BCM	Patras_10d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2865	10a									0	None								Clear		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS10d3	True Sample	none	BCM	Patras_10d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2865	10a									3	GBS	2460000					Colonized		Clear	High	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS10d7	True Sample	none	BCM	Patras_10d7HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2865	10a									7	GBS	120	65463.91753	25577.55776	0			Colonized	Clear	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS11d0	True Sample	none	BCM	Patras_11d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2866	11a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS11d3	True Sample	none	BCM	Patras_11d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2866	11a									3	GBS	456000					Colonized		Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS11d7	True Sample	none	BCM	Patras_11d7HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2866	11a									7	GBS	528000	57086614.17	57591623.04	26813.72213			Colonized	Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS12d0	True Sample	none	BCM	Patras_12d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2867	12a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS12d3	True Sample	none	BCM	Patras_12d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2867	12a									3	GBS	3240000					Colonized		Colonized	High	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS12d7	True Sample	none	BCM	Patras_12d7HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2867	12a									7	GBS	82800	2559055.118	3435114.504	18670.76326			Colonized	Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS13d0	True Sample	none	BCM	Patras_13d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2868	13a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS13d3	True Sample	none	BCM	Patras_13d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2868	13a									3	GBS	690000					Colonized		Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS13d7	True Sample	none	BCM	Patras_13d7HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/11/20	22.85714286	weeks	nulliparous	GBS1_04	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2868	13a									7	GBS	744000	94907407.41	47142857.14	7799147.381			Colonized	Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		GBS	none	none
GBS14d0	True Sample	none	BCM	Patras_14d0HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/12/20	22.71428571	weeks	nulliparous	GBS1_05	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2871	14a									0	None								Colonized		HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	4	2	II		GBS	none	none
GBS14d3	True Sample	none	BCM	Patras_14d3HUVANI2	8/18/20	2020Aug	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	3/12/20	22.71428571	weeks	nulliparous	GBS1_05	January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	JC2871	14a									3	GBS	426000	1626016.26	3763440.86	361.3325031		Colonized		Colonized	Low	HMB_GBSchallenge	BCM	BCM_Taub		reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	4	2	II		GBS	none	none
