sample_name	birthplace	orig_seqrunid	date_startcollection	cohort	orig_tube	mouse_line	site_line	dob	host_age	host_age_units	breedpair	parity	cage	collection_sequence	collection_date	extraction_date	submission_date	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	esMM	esKP	esSO	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD2	VS_clearD3	VS_clearD4	VS_clearD5	VS_clearD6	VS_clearD7	Uterine_clearance	toMedian1002000	study_topic	institution	vivarium	room	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	plate_position	CST	CST_categorical
GBS03d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		03a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS04d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		04a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									3	III
GBS05d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/27/20	24.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		05a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS06d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/27/20	24.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		06a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									4	IV
GBS07d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/27/20	24.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		07a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									4	IV
GBS08d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/28/20	24.57142857								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		08a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									4	IV
GBS09d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/28/20	24.57142857								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		09a									0	GBS												Clear		HMB_GBSchallenge		BCM_Taub									5	V
GBS10d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		10a									0	GBS												Clear		HMB_GBSchallenge		BCM_Taub									2	II
GBS11d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		11a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS12d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		12a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS13d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		13a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS14d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/12/20	22.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		14a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									5	V
GBS15d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/12/20	22.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		15a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									4	IV
GBS16d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/12/20	22.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		16a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									5	V
GBS17d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/16/20	22.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		17a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									5	V
GBS18d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/16/20	22.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		18a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									5	V
GBS19d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/18/20	21.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		19a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS20d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/18/20	21.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		20a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS21d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/18/20	21.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		21a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS22d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		22a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									5	V
GBS23d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		23a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS24d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		24a									0	GBS												Clear		HMB_GBSchallenge		BCM_Taub									2	II
GBS25d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		25a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									4	IV
GBS26d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		26a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS27d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		27a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									4	IV
GBS28d0	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	4/20/20	17.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		28a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
GBS29d0	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	4/20/20	17.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		29a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
GBS30d0	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	4/20/20	17.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		30a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
GBS32d0	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	6/29/20	7.142857143								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		32a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
GBS33d0	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	6/29/20	7.142857143								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		33a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
GBS34d0	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	6/29/20	7.142857143								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		34a									0	GBS														HMB_GBSchallenge		BCM_Taub									0	0
GBS35d0	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	7/3/20	6.571428571								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		35a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
GBS36d0	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	7/3/20	6.571428571								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		36a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
GBS37d0	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	7/3/20	6.571428571								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		37a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									0	0
GBS01d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		01a									3	GBS	2160000						Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									2	II
GBS02d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		02a									3	GBS	2100000						Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									2	II
GBS03d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		03a									3	GBS	46200						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS04d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		04a									3	GBS	1068000						Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									3	III
GBS05d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/27/20	24.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		05a									3	GBS	726000	3561643.836	10211267.61	5346.835443			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS06d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/27/20	24.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		06a									3	GBS	660000	24441340.78	64814814.81	328747.3997			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									4	IV
GBS07d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/27/20	24.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		07a									3	GBS	216000	14192139.74	38659793.81	3024535.902			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									4	IV
GBS08d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/28/20	24.57142857								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		08a									3	GBS	1182000	107142857.1	101224105.5	47800990.1			Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									4	IV
GBS09d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/28/20	24.57142857								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		09a									3	GBS	720	781.25	0	0			Colonized					Clear	Low	HMB_GBSchallenge		BCM_Taub									5	V
GBS10d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		10a									3	GBS	2460000						Colonized					Clear	High	HMB_GBSchallenge		BCM_Taub									2	II
GBS11d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		11a									3	GBS	456000						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS12d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		12a									3	GBS	3240000						Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									2	II
GBS13d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		13a									3	GBS	690000						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS14d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/12/20	22.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		14a									3	GBS	426000	1626016.26	3763440.86	361.3325031			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									5	V
GBS15d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/12/20	22.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		15a									3	GBS	1500000	126660341.6	133606557.4	10264942.53			Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									4	IV
GBS16d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/12/20	22.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		16a									3	GBS	3780000	74453551.91	70895522.39	16357.67947			Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									5	V
GBS17d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/16/20	22.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		17a									3	GBS	2040000	101439790.6	133534136.5	6031.690141			Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									5	V
GBS18d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/16/20	22.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		18a									3	GBS	4380000	257796257.8	43189368.77	40313.40034			Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									5	V
GBS19d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/18/20	21.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		19a									3	GBS	6660	1270114.943	1578282.828	22941.75476			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS20d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/18/20	21.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		20a									3	GBS	600	431937.1728	1539589.443	2154.123711			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS21d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/18/20	21.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		21a									3	GBS	17400	155826.5583	532945.7364	10191.17647			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS22d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		22a									3	GBS	55200	11152416.36	4866666.667	23358.50714			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									5	V
GBS23d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		23a									3	GBS	738000	13095238.1	44719827.59	17986.33692			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS24d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		24a									3	GBS	0						Clear					Clear	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS25d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		25a									3	GBS	1002000						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									4	IV
GBS26d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		26a									3	GBS	606000						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS27d3	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		27a									3	GBS	300000						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									4	IV
GBS28d3	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	4/20/20	17.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		28a									3	GBS	450000	38429054.05	90534979.42	2146792.453			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS29d3	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	4/20/20	17.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		29a									3	GBS	1680000	33962264.15	72115384.62	8128760.951			Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									0	0
GBS30d3	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	4/20/20	17.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		30a									3	GBS	4380						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS31d3	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	4/20/20	17.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		31a									3	GBS	67200						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS32d3	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	6/29/20	7.142857143								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		32a									3	GBS	402000	31645569.62	59659090.91	3587427.184			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS33d3	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	6/29/20	7.142857143								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		33a									3	GBS	192000	17034068.14	26916058.39	2443646.617			Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS35d3	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	7/3/20	6.571428571								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		35a									3	GBS	79800						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS36d3	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	7/3/20	6.571428571								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		36a									3	GBS	1920000						Colonized					Colonized	High	HMB_GBSchallenge		BCM_Taub									0	0
GBS37d3	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	7/3/20	6.571428571								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		37a									3	GBS	61800						Colonized					Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS01d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		01a									7	GBS	1380000	31716417.91	44642857.14	962407.2217							Colonized	Colonized	High	HMB_GBSchallenge		BCM_Taub									2	II
GBS02d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		02a									7	GBS	906000	21284829.72	63591022.44	9547.936017							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS03d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		03a									7	GBS	564000	2718446.602	2191558.442	8465.822785							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS04d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		04a									7	GBS	156000	69422150.88	90301003.34	1097387.479							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									3	III
GBS10d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		10a									7	GBS	120	65463.91753	25577.55776	0							Colonized	Clear	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS11d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		11a									7	GBS	528000	57086614.17	57591623.04	26813.72213							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS12d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		12a									7	GBS	82800	2559055.118	3435114.504	18670.76326							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS13d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	3/11/20	22.85714286								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		13a									7	GBS	744000	94907407.41	47142857.14	7799147.381							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS24d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		24a									7	GBS	0	8643.617021	5000	0							Clear	Clear	Low	HMB_GBSchallenge		BCM_Taub									2	II
GBS25d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		25a									7	GBS	2580000	161184210.5	29956427.02	280315.1659							Colonized	Colonized	High	HMB_GBSchallenge		BCM_Taub									4	IV
GBS26d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		26a									7	GBS	1680000	49494949.49	42763157.89	52836.09078							Colonized	Colonized	High	HMB_GBSchallenge		BCM_Taub									2	II
GBS27d7	BCM		8/18/20	2020Aug		HMB	BCM_HMB	4/4/20	19.42857143								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		27a									7	GBS	540000	117676767.7	52763819.1	688029.9026							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									4	IV
GBS30d7	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	4/20/20	17.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		30a									7	GBS	570000	37099494.1	33248081.84	3675774.059							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS31d7	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	4/20/20	17.14285714								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		31a									7	GBS	270000	26848591.55	30678851.17	14735208.87							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
