Feature ID	Taxon	Confidence
MJ006-2-barcode71-umi162326bins-ubs-3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834; s__Escherichia marmotae	1.0
MJ010-1-barcode36-umi120651bins-ubs-5	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Christensenellales; f__Borkfalkiaceae; g__Borkfalkia; s__	1.0
MJ006-1-barcode49-umi111442bins-ubs-5	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Dialisteraceae; g__Dialister; s__Dialister invisus	1.0
AB248526	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae; g__Pseudarthrobacter_385634; s__Pseudarthrobacter niigatensis	1.0
RS-GCF-002763675.1-NZ-CP024647.1--9	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Bacillus_P_294101; s__Bacillus_P_294101 velezensis	1.0
GB-GCA-004962155.1-SUHY01000067.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Enterobacter_B_713587; s__Enterobacter_B_713587 cloacae_713536	1.0
RS-GCF-005405805.1-NZ-BJFH01000017.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium_388775; s__Bifidobacterium moukalabense	1.0
AY514996	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A rodentium	1.0
MJ006-2-barcode58-umi132116bins-ubs-4	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_D_310495; f__Amphibacillaceae; g__Cerasibacillus; s__	1.0
MF927681	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingopyxis; s__Sphingopyxis lindanitolerans	1.0
EU022524	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__Phenylobacterium composti	1.0
MJ006-1-barcode48-umi60191bins-ubs-6	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Dialisteraceae; g__Dialister; s__Dialister hominis	1.0
G000312005	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__Cellulomonas massiliensis	1.0
MJ006-1-barcode47-umi28066bins-ubs-10	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_B; s__Romboutsia_B ilealis	1.0
EU439435	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Weissella_A_338546; s__Weissella_A_338546 beninensis	1.0
MG786778	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Aquabacterium_B_592457; s__Aquabacterium_B_592457 lacunae	1.0
RS-GCF-001150945.1-NZ-CLAX01000006.1	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mitis_AR_351037	1.0
RS-GCF-003989295.1-NZ-RBLW01000013.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Dermabacteraceae; g__Dermabacter; s__Dermabacter vaginalis	1.0
MT527641	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomicrobium_483265; s__Sphingomonas arenae	1.0
RS-GCF-904846455.1-NZ-CAJHAS010000014.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Psychrobacter; s__Psychrobacter aquimaris	1.0
KC735149	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas_L_486704; s__Sphingomonas_L_486704 naasensis	1.0
RS-GCF-003603515.1-NZ-QTNH01000022.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H; s__Bacteroides_H uniformis	1.0
G000376265	d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Thermaceae_405955; g__Thermus_A; s__Thermus_A igniterrae	1.0
MJ020-2-barcode70-umi76196bins-ubs-3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592524; f__Burkholderiaceae_A_574934; g__Lacisediminimonas; s__Lacisediminimonas profundi	1.0
MJ009-1-barcode48-umi103422bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Dorea_A; s__Dorea_A longicatena	1.0
FN824365	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Quadrisphaeraceae; g__Pseudokineococcus; s__Pseudokineococcus lusitanus	1.0
EU878005	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Dermatophilaceae_390796; g__Fodinibacter; s__Fodinibacter luteus	1.0
LC148306	d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus_B; s__Deinococcus_B seoulensis	1.0
KX944690	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592524; f__Burkholderiaceae_A_574758; g__Pseudoduganella; s__Pseudoduganella buxea	1.0
GB-GCA-003006655.1-PXIN01000324.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_616009; f__Xanthomonadaceae_616009; g__Stenotrophomonas_A_615274; s__Stenotrophomonas_A_615274 maltophilia_615059	1.0
AJ867034	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales_993521; f__Fusobacteriaceae_993521; g__Fusobacterium_A; s__Fusobacterium_A necrogenes	1.0
MJ007-1-barcode36-umi32764bins-ubs-4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Comamonas_F_589250; s__	1.0
MJ030-2-barcode73-umi85023bins-ubs-5	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis	1.0
RS-GCF-904846165.1-NZ-CAJGZI010000145.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Psychrobacter; s__	1.0
RS-GCF-009707485.1-NZ-CP046121.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Dermatophilaceae_390796; g__Phycicoccus_A_390393; s__	1.0
RS-GCF-003603645.1-NZ-QVHD01000007.1	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Faecalimonas; s__Faecalimonas umbilicata	1.0
RS-GCF-018128005.1-NZ-CP072354.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella melaninogenica	1.0
RS-GCF-002198715.1-NZ-MWLK01000036.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Dermatophilaceae_390796; g__Phycicoccus_A_390393; s__	1.0
RS-GCF-001593305.1-NZ-CP012533.1--3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Psychrobacter; s__Psychrobacter frigidicola	1.0
AY772476	d__Bacteria; p__Firmicutes_A; c__Thermoanaerobacteria; o__Caldicellulosiruptorales; f__Caldicellulosiruptoraceae; g__Caldicellulosiruptor; s__Caldicellulosiruptor acetigenus	1.0
CP002042	d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Thermaceae_405955; g__Meiothermus_B_405754; s__Meiothermus_B_405754 silvanus	1.0
GB-GCA-001028085.1-CP011832.1--8	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_306089; f__Anoxybacillaceae; g__Geobacillus; s__Geobacillus thermocatenulatus	1.0
G000252725	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Dwaynesavagella; s__Dwaynesavagella sp000270205	1.0
GB-GCA-910575245.1-CAJTEN010000081.1	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3282; s__UBA3282 sp003611805	1.0
RS-GCF-002885675.1-NZ-PJKZ01000003.1	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia muciniphila_D_776786	1.0
GB-GCA-910575855.1-CAJTGM010000148.1	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_F; s__Eubacterium_F sp000687695	1.0
RS-GCF-006352475.1-NZ-VCMZ01000001.1--2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Acinetobacter; s__	1.0
GB-GCA-002012185.1-CP018962.1--7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834; s__	1.0
RS-GCF-004403945.1-NZ-SOHM01000021.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Cryobacterium_C; s__	1.0
RS-GCF-002001005.1-NZ-MUNX01000026.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium restrictum	1.0
KX889310	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501394; f__Rhizobiaceae_A_501394; g__Georhizobium; s__Georhizobium haloflavum	1.0
AY817493	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_H; f__Marinococcaceae; g__Marinococcus; s__Marinococcus halotolerans	1.0
MH633716	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Beijerinckiaceae; g__Bosea; s__Bosea caraganae	1.0
MJ030-2-barcode59-umi30942bins-ubs-24	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Aquabacterium_A; s__Aquabacterium_A sp002198735	1.0
AM412238	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas_L_486704; s__Sphingomonas_L_486704 pseudosanguinis	1.0
G000437715	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae; g__Catenibacterium; s__Catenibacterium sp000437715	1.0
G002798305	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_A; f__Planococcaceae; g__Chryseomicrobium_303841; s__Chryseomicrobium excrementi	1.0
MJ006-2-barcode69-umi156603bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__Lawsonibacter sp000177015	1.0
MH636880	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas_L_486704; s__Sphingomonas_L_486704 aracearum	1.0
RS-GCF-011307015.1-NZ-CP043784.1--6	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__	1.0
G000285595	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_A; f__Planococcaceae; g__Kurthia; s__Kurthia senegalensis	1.0
X79451	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Sanguibacter; s__Sanguibacter inulinus	1.0
EU215774	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Tatumella; s__Tatumella saanichensis	1.0
RS-GCF-018971125.1-NZ-JAGKQT010000015.1--2	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_306089; f__Bacillaceae_H_289398; g__Bacillus_I; s__Bacillus_I filamentosa	1.0
MJ006-1-barcode45-umi135865bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 eutactus	1.0
HE672086	d__Bacteria; p__Actinobacteriota; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter_A_405431; s__Rubrobacter_A_405431 bracarensis	1.0
RS-GCF-000393135.1-NZ-KB944701.1--2	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_H_360604; s__Enterococcus_H_360604 faecalis	1.0
G000425825	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Staphylococcales; f__Salinicoccaceae; g__Jeotgalicoccus_A_310962; s__Jeotgalicoccus_A_310962 marinus	1.0
MJ010-1-barcode29-umi156061bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T chauvoei	1.0
MJ034-1-barcode41-umi13743bins-ubs-22	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__Segetibacter; s__Segetibacter koreensis	1.0
RS-GCF-009372255.1-NZ-LXGN01000020.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter guerrae	1.0
MJ031-2-barcode74-umi45674bins-ubs-4	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__; s__	1.0
RS-GCF-002029255.1-NZ-MZGT01000173.1	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T chromiireducens	1.0
RS-GCF-016805365.1-NZ-JAAKGH010000025.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Aeromonadaceae; g__Aeromonas; s__	1.0
RS-GCF-900168125.1-NZ-FUZF01000038.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__Sphingobacterium nematocida	1.0
RS-GCF-004569355.1-NZ-SPPR01000066.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides_B_862066; s__Parabacteroides_B_862066 goldsteinii	1.0
GB-GCA-013371115.1-JABWVA010000003.1	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_B; s__Enterococcus_B lactis	1.0
GQ456228	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Adlercreutzia_404218; s__Adlercreutzia caecicola	1.0
RS-GCF-001932325.1-NZ-MCIQ01000001.1--5	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Pseudonocardiaceae; g__Pseudonocardia; s__Pseudonocardia tropica	1.0
HM777012	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__Brevundimonas viscosa	1.0
MG706144	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Allosphingosinicella; s__Allosphingosinicella deserti	1.0
RS-GCF-002204165.1-NZ-NBNP01000057.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter soli	1.0
AB455495	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Georgenia_386188; s__Georgenia muralis	1.0
G000014825	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Xanthobacteraceae_503485; g__Rhodopseudomonas; s__Rhodopseudomonas palustris_B	1.0
RS-GCF-002212305.1-NZ-LYNU01000453.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_660879; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter baumannii	1.0
RS-GCF-900104735.1-NZ-LT629746.1--6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae; g__Pseudomonas_E_647464; s__	1.0
MJ031-2-barcode74-umi51835bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__; s__	1.0
LN890294	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium_485350; s__Novosphingobium bradum	1.0
MJ030-1-barcode42-umi74419bins-ubs-7	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__VFJQ01; s__VFJQ01 sp009885995	1.0
MJ007-2-barcode54-umi49669bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_P; s__	1.0
AB252202	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium persicinum	1.0
MJ006-1-barcode42-umi77822bins-ubs-5	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium_AQ; s__Clostridium_AQ innocuum	1.0
MJ009-1-barcode34-umi26394bins-ubs-15	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_J_366884; s__Paenibacillus_J_366884 macquariensis	1.0
MJ030-1-barcode42-umi17701bins-ubs-27	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium macacae	1.0
GQ259742	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Weeksellaceae; g__Kaistella; s__	1.0
RS-GCF-009495265.1-NZ-VZAJ01000021.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella copri	1.0
G000403315	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__14-2; s__14-2 sp000403315	1.0
G001751375	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptomycetales_400645; f__Streptomycetaceae_400641; g__Streptomyces_G_395345; s__Streptomyces_G_395345 sp000424765	1.0
G900115425	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Acidaminococcus; s__Acidaminococcus fermentans	1.0
EF424403	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium_485351; s__Novosphingobium mathurense	1.0
MJ006-1-barcode32-umi74403bins-ubs-6	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__CAG-1427; s__CAG-1427 sp000435475	1.0
AF035052	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Aquabacterium_B_592457; s__Aquabacterium_B_592457 parvum	1.0
GB-GCA-000510505.1-AYYC01000671.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Tannerella; s__Tannerella serpentiformis	1.0
MJ007-1-barcode29-umi29178bins-ubs-6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Woeseiales; f__Woeseiaceae; g__SP4260; s__	1.0
RS-GCF-010119385.1-NZ-VFIE01000045.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_616009; f__Xanthomonadaceae_616009; g__Stenotrophomonas_A_615274; s__	1.0
AY904033	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Metabacillus_B_289500; s__Metabacillus_B_289500 idriensis	1.0
RS-GCF-000410615.1-NZ-APCQ01000135.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium_485350; s__Novosphingobium capsulatum	1.0
MJ009-1-barcode40-umi63732bins-ubs-5	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Oliverpabstia; s__	1.0
RS-GCF-007833915.1-NZ-CP041061.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Micromonospora_H_372070; s__Micromonospora_H_372070 rifamycinica	1.0
RS-GCF-000731155.1-NZ-CCDI010000003.1--2	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_D_310495; f__Halobacillaceae; g__Halobacillus_A_288294; s__	1.0
L06170	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597441; f__Neisseriaceae_563222; g__Neisseria_561475; s__Neisseria canis	1.0
G001591585	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_302584; f__DSM-18226_301387; g__Niallia; s__Niallia circulans_300192	1.0
MJ030-2-barcode60-umi82908bins-ubs-9	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Propionisporales_41694; f__Propionisporaceae_41694; g__Pelosinus; s__	1.0
MJ006-1-barcode39-umi147946bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__	1.0
RS-GCF-007362475.1-NZ-CP041687.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Weeksellaceae; g__Kaistella; s__	1.0
MJ010-1-barcode30-umi156564bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ethanoligenenaceae; g__; s__	1.0
RS-GCF-001500125.1-NZ-LQIV01000035.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__Mycobacterium litorale	1.0
MJ030-2-barcode73-umi53958bins-ubs-12	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eisenbergiella; s__	1.0
