sample_name	birthplace	date_startcollection	cohort	mouse_line	site_line	host_age	host_age_units	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	study_topic	vivarium	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_categorical
12502.0P13	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P13						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P14	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P14						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P15	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P15						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P16	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P16						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P17	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P17						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P18	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P18						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P19	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P19						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P20	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P20						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P21	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P21						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P22	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P22						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P23	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P23						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P24	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P24						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0P25	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P25						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C11	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C11						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C12	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C12						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C13	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C13						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C14	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C14						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C15	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C15						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C16	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C16						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C17	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C17						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C18	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C18						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C19	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C19						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0C20	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					C20						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T01	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T01						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T02	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T02						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T03	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T03						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T04	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T04						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T05	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T05						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T06	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T06						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T07	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T07						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T08	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T08						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T09	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T09						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T10	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T10						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T11	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T11						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T12	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T12						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T13	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T13						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T14	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T14						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T15	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T15						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T16	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T16						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T17	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T17						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T18	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T18						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T19	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T19						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T20	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T20						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T21	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T21						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T22	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T22						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T23	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T23						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T24	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T24						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0T25	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					T25						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H11	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H11						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H12	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H12						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H13	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H13						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H14	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H14						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H15	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H15						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H16	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H16						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H17	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H17						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H18	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H18						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H19	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H19						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.0H20	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					H20						0	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W05	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W05						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W06	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W06						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W07	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W07						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W08	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W08						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W09	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W09						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W10	BRF-II		pre2020	Conventional	BRF-II_Conventional	13.1	weeks		vaginal community					W10						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W11	BRF-II		pre2020	Conventional	BRF-II_Conventional	13.1	weeks		vaginal community					W11						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W12	BRF-II		pre2020	Conventional	BRF-II_Conventional	13.1	weeks		vaginal community					W12						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W01	BRF-II		pre2020	Conventional	BRF-II_Conventional	38	weeks		vaginal community					W01						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W02	BRF-II		pre2020	Conventional	BRF-II_Conventional	38	weeks		vaginal community					W02						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W03	BRF-II		pre2020	Conventional	BRF-II_Conventional	25.7	weeks		vaginal community					W03						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.1W04	BRF-II		pre2020	Conventional	BRF-II_Conventional	21.7	weeks		vaginal community					W04						1	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W05	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W05						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W06	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W06						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W07	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W07						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W08	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W08						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W09	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W09						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W10	BRF-II		pre2020	Conventional	BRF-II_Conventional	13.1	weeks		vaginal community					W10						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W11	BRF-II		pre2020	Conventional	BRF-II_Conventional	13.1	weeks		vaginal community					W11						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W12	BRF-II		pre2020	Conventional	BRF-II_Conventional	13.1	weeks		vaginal community					W12						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W01	BRF-II		pre2020	Conventional	BRF-II_Conventional	38	weeks		vaginal community					W01						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W02	BRF-II		pre2020	Conventional	BRF-II_Conventional	38	weeks		vaginal community					W02						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W03	BRF-II		pre2020	Conventional	BRF-II_Conventional	25.7	weeks		vaginal community					W03						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.3W04	BRF-II		pre2020	Conventional	BRF-II_Conventional	21.7	weeks		vaginal community					W04						3	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W05	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W05						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W06	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W06						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W07	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W07						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W08	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W08						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W09	BRF-II		pre2020	Conventional	BRF-II_Conventional	26.4	weeks		vaginal community					W09						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W10	BRF-II		pre2020	Conventional	BRF-II_Conventional	13.1	weeks		vaginal community					W10						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W11	BRF-II		pre2020	Conventional	BRF-II_Conventional	13.1	weeks		vaginal community					W11						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W12	BRF-II		pre2020	Conventional	BRF-II_Conventional	13.1	weeks		vaginal community					W12						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W01	BRF-II		pre2020	Conventional	BRF-II_Conventional	38	weeks		vaginal community					W01						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W02	BRF-II		pre2020	Conventional	BRF-II_Conventional	38	weeks		vaginal community					W02						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W03	BRF-II		pre2020	Conventional	BRF-II_Conventional	25.7	weeks		vaginal community					W03						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.5W04	BRF-II		pre2020	Conventional	BRF-II_Conventional	21.7	weeks		vaginal community					W04						5	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P01	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P01						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P02	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P02						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P03	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P03						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P04	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P04						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P05	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P05						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P06	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P06						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P07	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P07						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P08	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P08						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P09	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P09						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P10	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P10						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P11	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P11						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P12	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P12						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P13	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P13						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P14	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P14						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P15	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P15						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P16	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P16						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P17	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P17						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
12502.6P18	Jackson Labs		pre2020	Conventional	Jackson Labs_Conventional	8	weeks		vaginal community					P18						6	not applicable									Impact of human milk oligosaccharides on mouse vaginal microbiota		reproductive system	mucus	vagina	C57/Bl6	adult	Mus musculus	0	0
